max_depth,lambda,subsample,colsample_bytree,test_MSE,,
3,0.8,0.6,0.2,0.0301561,max_depth,3
3,0.8,0.6,0.4,0.030187346,lambda,1
3,0.8,0.6,0.6,0.028760573,subsample ,0.8
3,0.8,0.6,0.8,0.029423074,colsample_bytree,0.8
3,0.8,0.6,1,0.029010561,,
3,0.8,0.8,0.2,0.030596869,,
3,0.8,0.8,0.4,0.029277698,,
3,0.8,0.8,0.6,0.030006357,,
3,0.8,0.8,0.8,0.03032652,,
3,0.8,0.8,1,0.029253575,,
3,0.8,1,0.2,0.028871288,,
3,0.8,1,0.4,0.029819503,,
3,0.8,1,0.6,0.029677418,,
3,0.8,1,0.8,0.030658729,,
3,0.8,1,1,0.030108335,,
3,1,0.6,0.2,0.029682567,,
3,1,0.6,0.4,0.0297814,,
3,1,0.6,0.6,0.029317137,,
3,1,0.6,0.8,0.029735946,,
3,1,0.6,1,0.029301088,,
3,1,0.8,0.2,0.028865978,,
3,1,0.8,0.4,0.029517956,,
3,1,0.8,0.6,0.029502473,,
3,1,0.8,0.8,0.03017993,,
3,1,0.8,1,0.029166846,,
3,1,1,0.2,0.029811474,,
3,1,1,0.4,0.029423189,,
3,1,1,0.6,0.030824236,,
3,1,1,0.8,0.031014435,,
3,1,1,1,0.030970422,,
3,1.3,0.6,0.2,0.028651258,,
3,1.3,0.6,0.4,0.028876831,,
3,1.3,0.6,0.6,0.02981722,,
3,1.3,0.6,0.8,0.029118691,,
3,1.3,0.6,1,0.030257165,,
3,1.3,0.8,0.2,0.029020078,,
3,1.3,0.8,0.4,0.029929126,,
3,1.3,0.8,0.6,0.029613067,,
3,1.3,0.8,0.8,0.028957243,,
3,1.3,0.8,1,0.029056396,,
3,1.3,1,0.2,0.030381428,,
3,1.3,1,0.4,0.030420898,,
3,1.3,1,0.6,0.030767013,,
3,1.3,1,0.8,0.030909752,,
3,1.3,1,1,0.03119498,,
3,1.5,0.6,0.2,0.029550738,,
3,1.5,0.6,0.4,0.02886596,,
3,1.5,0.6,0.6,0.029345637,,
3,1.5,0.6,0.8,0.029414207,,
3,1.5,0.6,1,0.030655048,,
3,1.5,0.8,0.2,0.02937153,,
3,1.5,0.8,0.4,0.029294717,,
3,1.5,0.8,0.6,0.028946363,,
3,1.5,0.8,0.8,0.029604755,,
3,1.5,0.8,1,0.030861002,,
3,1.5,1,0.2,0.031137287,,
3,1.5,1,0.4,0.030320629,,
3,1.5,1,0.6,0.030077154,,
3,1.5,1,0.8,0.031644415,,
3,1.5,1,1,0.029519921,,
3,2,0.6,0.2,0.030295007,,
3,2,0.6,0.4,0.02912187,,
3,2,0.6,0.6,0.029346255,,
3,2,0.6,0.8,0.02987166,,
3,2,0.6,1,0.02925943,,
3,2,0.8,0.2,0.030302546,,
3,2,0.8,0.4,0.029508889,,
3,2,0.8,0.6,0.030371726,,
3,2,0.8,0.8,0.029925461,,
3,2,0.8,1,0.029598643,,
3,2,1,0.2,0.030577332,,
3,2,1,0.4,0.030814951,,
3,2,1,0.6,0.031451256,,
3,2,1,0.8,0.031289369,,
3,2,1,1,0.03080902,,
4,0.8,0.6,0.2,0.029454961,,
4,0.8,0.6,0.4,0.030179395,,
4,0.8,0.6,0.6,0.030928341,,
4,0.8,0.6,0.8,0.029861554,,
4,0.8,0.6,1,0.030319234,,
4,0.8,0.8,0.2,0.029846937,,
4,0.8,0.8,0.4,0.029423081,,
4,0.8,0.8,0.6,0.028658148,,
4,0.8,0.8,0.8,0.029838059,,
4,0.8,0.8,1,0.029701632,,
4,0.8,1,0.2,0.030316996,,
4,0.8,1,0.4,0.030545855,,
4,0.8,1,0.6,0.030240984,,
4,0.8,1,0.8,0.031541486,,
4,0.8,1,1,0.030704016,,
4,1,0.6,0.2,0.029371929,,
4,1,0.6,0.4,0.03112086,,
4,1,0.6,0.6,0.030049535,,
4,1,0.6,0.8,0.03002488,,
4,1,0.6,1,0.029492699,,
4,1,0.8,0.2,0.029181018,,
4,1,0.8,0.4,0.030427508,,
4,1,0.8,0.6,0.029256316,,
4,1,0.8,0.8,0.029140107,,
4,1,0.8,1,0.030248175,,
4,1,1,0.2,0.029078521,,
4,1,1,0.4,0.030233752,,
4,1,1,0.6,0.030648501,,
4,1,1,0.8,0.031438377,,
4,1,1,1,0.030138642,,
4,1.3,0.6,0.2,0.029721694,,
4,1.3,0.6,0.4,0.029874904,,
4,1.3,0.6,0.6,0.028772631,,
4,1.3,0.6,0.8,0.029347252,,
4,1.3,0.6,1,0.030140245,,
4,1.3,0.8,0.2,0.029851522,,
4,1.3,0.8,0.4,0.030343253,,
4,1.3,0.8,0.6,0.029275374,,
4,1.3,0.8,0.8,0.03029957,,
4,1.3,0.8,1,0.029985221,,
4,1.3,1,0.2,0.030021082,,
4,1.3,1,0.4,0.031758428,,
4,1.3,1,0.6,0.030339538,,
4,1.3,1,0.8,0.030995741,,
4,1.3,1,1,0.029920154,,
4,1.5,0.6,0.2,0.029972371,,
4,1.5,0.6,0.4,0.030297897,,
4,1.5,0.6,0.6,0.029758597,,
4,1.5,0.6,0.8,0.029166917,,
4,1.5,0.6,1,0.029944005,,
4,1.5,0.8,0.2,0.029813749,,
4,1.5,0.8,0.4,0.030226896,,
4,1.5,0.8,0.6,0.029265237,,
4,1.5,0.8,0.8,0.031029828,,
4,1.5,0.8,1,0.029372948,,
4,1.5,1,0.2,0.029578765,,
4,1.5,1,0.4,0.0308981,,
4,1.5,1,0.6,0.030183584,,
4,1.5,1,0.8,0.030003455,,
4,1.5,1,1,0.030591333,,
4,2,0.6,0.2,0.030261736,,
4,2,0.6,0.4,0.029444776,,
4,2,0.6,0.6,0.030689442,,
4,2,0.6,0.8,0.029534536,,
4,2,0.6,1,0.030389327,,
4,2,0.8,0.2,0.029725993,,
4,2,0.8,0.4,0.02947879,,
4,2,0.8,0.6,0.030399904,,
4,2,0.8,0.8,0.029935613,,
4,2,0.8,1,0.029811567,,
4,2,1,0.2,0.031124423,,
4,2,1,0.4,0.031127649,,
4,2,1,0.6,0.03048692,,
4,2,1,0.8,0.030481964,,
4,2,1,1,0.030853907,,
5,0.8,0.6,0.2,0.029348136,,
5,0.8,0.6,0.4,0.029138094,,
5,0.8,0.6,0.6,0.029613797,,
5,0.8,0.6,0.8,0.029098255,,
5,0.8,0.6,1,0.030365455,,
5,0.8,0.8,0.2,0.030140906,,
5,0.8,0.8,0.4,0.029238367,,
5,0.8,0.8,0.6,0.029416771,,
5,0.8,0.8,0.8,0.030087656,,
5,0.8,0.8,1,0.029704226,,
5,0.8,1,0.2,0.029313137,,
5,0.8,1,0.4,0.030362971,,
5,0.8,1,0.6,0.030382981,,
5,0.8,1,0.8,0.031398568,,
5,0.8,1,1,0.030687668,,
5,1,0.6,0.2,0.029407954,,
5,1,0.6,0.4,0.030213083,,
5,1,0.6,0.6,0.030241095,,
5,1,0.6,0.8,0.02946254,,
5,1,0.6,1,0.029507108,,
5,1,0.8,0.2,0.029290523,,
5,1,0.8,0.4,0.028560647,,
5,1,0.8,0.6,0.030297781,,
5,1,0.8,0.8,0.030242406,,
5,1,0.8,1,0.029869699,,
5,1,1,0.2,0.030414224,,
5,1,1,0.4,0.030598614,,
5,1,1,0.6,0.03037481,,
5,1,1,0.8,0.028958613,,
5,1,1,1,0.031099763,,
5,1.3,0.6,0.2,0.030411592,,
5,1.3,0.6,0.4,0.029363668,,
5,1.3,0.6,0.6,0.029716692,,
