max_depth,lambda,subsample,colsample_bytree,test_MSE
3,0.8,0.6,0.2,0.030156099991797643
3,0.8,0.6,0.4,0.03018734603243532
3,0.8,0.6,0.6,0.028760573094434888
3,0.8,0.6,0.8,0.02942307428823716
3,0.8,0.6,1.0,0.029010561196519888
3,0.8,0.8,0.2,0.030596868950370365
3,0.8,0.8,0.4,0.029277698099714086
3,0.8,0.8,0.6,0.03000635711522865
3,0.8,0.8,0.8,0.030326519626509205
3,0.8,0.8,1.0,0.029253575401378528
3,0.8,1.0,0.2,0.02887128812572949
3,0.8,1.0,0.4,0.029819502533791696
3,0.8,1.0,0.6,0.02967741779985179
3,0.8,1.0,0.8,0.03065872861461505
3,0.8,1.0,1.0,0.03010833452794899
3,1.0,0.6,0.2,0.02968256671187872
3,1.0,0.6,0.4,0.02978139987727849
3,1.0,0.6,0.6,0.02931713695894488
3,1.0,0.6,0.8,0.02973594558207873
3,1.0,0.6,1.0,0.029301087803649945
3,1.0,0.8,0.2,0.02886597786852726
3,1.0,0.8,0.4,0.02951795585696903
3,1.0,0.8,0.6,0.02950247316485359
